Bankrupt?,NetIncome_to_Assets,ROA_A,DebtRatio,NetWorth_to_Assets,EPS,Earnings_to_Assets
1,0.795297136043035,0.53821412996075,0.171176346101521,0.828823653898479,0.2089439349532,0.931065217577487
1,0.79501587263578,0.538432184910597,0.106509054630105,0.893490945369894,0.212536636097192,0.91385019745186
0,0.815350392476567,0.570922372437854,0.108202073948665,0.891797926051335,0.22520563486811,0.935449309245632
0,0.803647289792132,0.545137374618404,0.058590561417299,0.941409438582701,0.218398411647915,0.935200209287994
0,0.804194656500343,0.550915830789359,0.121292741179672,0.878707258820328,0.217831143046232,0.938289896761562
0,0.814110614307489,0.56754252071522,0.103576503310457,0.896423496689543,0.218965680249598,0.942828956208544
0,0.804886952966321,0.549716528565198,0.0943858270097046,0.905614172990295,0.204689420440579,0.93295521516369
0,0.803260160615522,0.551569995638901,0.144662454273362,0.855337545726638,0.219343859317387,0.930139634781563
0,0.794157852517078,0.533307893589185,0.106569519605768,0.893430480394232,0.212914815164981,0.930763202677411
0,0.819715357306136,0.57582860880942,0.0896393264201711,0.910360673579829,0.226434716838423,0.94025165752662
0,0.815418713855725,0.57108591365024,0.0990718626235753,0.900928137376425,0.223787463363903,0.933540910463702
0,0.810421134587852,0.560237679895334,0.0612812528342957,0.938718747165704,0.220194762219911,0.942018218547371
0,0.826642041201762,0.590438290449193,0.0787253983130272,0.921274601686973,0.233052850524723,0.948858906532939
0,0.806263914593922,0.559801569995639,0.141336880611906,0.858663119388094,0.220005672686017,0.935009281984505
0,0.802551849429409,0.543720017444396,0.0774858663119388,0.922514133688061,0.217452963978444,0.933563970913442
0,0.80463901213129,0.545573484518099,0.0963509387187471,0.903649061281253,0.219343859317387,0.939765139730377
0,0.814011882705804,0.564489751417357,0.100734649454304,0.899265350545696,0.225394724402004,0.937920804869362
0,0.808976427196184,0.563672045355429,0.146506636031079,0.853493363968921,0.22322019476222,0.936223801831732
0,0.798103629260323,0.548135630178805,0.19303443480364,0.80696556519636,0.218965680249598,0.93856123349435
0,0.803444645412305,0.561382468382032,0.19451582670738,0.80548417329262,0.22189656802496,0.933883562062243
0,0.772908884661082,0.503652420409943,0.14674849593373,0.85325150406627,0.203554883237213,0.923742746015952
0,0.812973644132776,0.563617531617968,0.092057925446685,0.907942074553315,0.224260187198639,0.942045500965593
0,0.830176405307051,0.593054949847362,0.0360975904707198,0.96390240952928,0.228420156944313,0.943096297038018
0,0.812100285489518,0.563944614042739,0.0895788614445083,0.910421138555492,0.2205729412877,0.93768584755713
0,0.8141021444053,0.570704317488007,0.116848565468452,0.883151434531548,0.225394724402004,0.937473539811651
0,0.80292347799953,0.544755778456171,0.0623393899083955,0.937660610091604,0.218209322114021,0.937101764402904
0,0.803065744296262,0.550915830789359,0.124104362547994,0.875895637452006,0.218682045948757,0.934730336547086
0,0.811257383194871,0.564544265154819,0.122622970644254,0.877377029355746,0.213576628533611,0.93823378870164
0,0.784384878843847,0.516354121238552,0.139281071439369,0.860718928560631,0.209794837855725,0.927407108748788
0,0.797743521000021,0.541321412996075,0.147201983251202,0.852798016748798,0.214994800037818,0.930539498151253
0,0.798173897544613,0.539467945922372,0.0953834991081416,0.904616500891858,0.215372979105606,0.932102119442917
0,0.801371569744629,0.548026602703881,0.0800858602654412,0.919914139734559,0.212253001796351,0.934363318155994
0,0.815731085142529,0.571631051024858,0.118874142153158,0.881125857846842,0.221612933724118,0.932853037736966
0,0.811426300758598,0.562690798081116,0.0690207697191402,0.93097923028086,0.220667486054647,0.942100288262037
0,0.813567760267837,0.566888355865678,0.0866463101248602,0.91335368987514,0.225489269168951,0.945429865976427
0,0.816256591930727,0.575883122546882,0.137981074462618,0.862018925537382,0.228325612177366,0.93849638089017
